circuit D
t	Ve	Vs
6.71996e-008	-0.88228	-0.0364935
6.72996e-008	-0.88522	-0.0378072
6.73996e-008	-0.888125	-0.0391219
6.74996e-008	-0.890995	-0.0404375
6.75996e-008	-0.893831	-0.041754
6.76996e-008	-0.89663	-0.0430714
6.77996e-008	-0.899395	-0.0443896
6.78996e-008	-0.902124	-0.0457086
6.79996e-008	-0.904817	-0.0470283
6.80996e-008	-0.907474	-0.0483487
6.81996e-008	-0.910096	-0.0496698
6.82996e-008	-0.912682	-0.0509914
6.83996e-008	-0.915232	-0.0523136
6.84996e-008	-0.917745	-0.0536364
6.85996e-008	-0.920223	-0.0549595
6.86996e-008	-0.922664	-0.0562832
6.87996e-008	-0.925068	-0.0576072
6.88996e-008	-0.927437	-0.0589315
6.89996e-008	-0.929768	-0.0602561
6.90996e-008	-0.932063	-0.061581
6.91996e-008	-0.934321	-0.0629061
6.92996e-008	-0.936542	-0.0642313
6.93996e-008	-0.938726	-0.0655567
6.94996e-008	-0.940873	-0.0668821
6.95997e-008	-0.942983	-0.0682076
6.96997e-008	-0.945056	-0.069533
6.97997e-008	-0.947091	-0.0708584
6.98997e-008	-0.949089	-0.0721837
6.99997e-008	-0.95105	-0.0735088
7.00997e-008	-0.952973	-0.0748338
7.01997e-008	-0.954858	-0.0761585
7.02997e-008	-0.956706	-0.0774829
7.03997e-008	-0.958516	-0.078807
7.04997e-008	-0.960288	-0.0801308
7.05997e-008	-0.962022	-0.0814541
7.06997e-008	-0.963718	-0.0827769
7.07997e-008	-0.965376	-0.0840993
7.08997e-008	-0.966996	-0.0854211
7.09997e-008	-0.968578	-0.0867423
7.10997e-008	-0.970122	-0.0880629
7.11997e-008	-0.971627	-0.0893828
7.12997e-008	-0.973094	-0.0907019
7.13997e-008	-0.974522	-0.0920203
7.14997e-008	-0.975912	-0.0933379
7.15997e-008	-0.977264	-0.0946546
7.16997e-008	-0.978577	-0.0959705
7.17997e-008	-0.979851	-0.0972853
7.18997e-008	-0.981087	-0.0985992
7.19997e-008	-0.982284	-0.0999121
7.20997e-008	-0.983442	-0.101224
7.21997e-008	-0.984561	-0.102534
7.22997e-008	-0.985641	-0.103844
7.23997e-008	-0.986683	-0.105152
7.24997e-008	-0.987685	-0.106459
7.25997e-008	-0.988649	-0.107765
7.26997e-008	-0.989573	-0.109069
7.27997e-008	-0.990459	-0.110372
7.28997e-008	-0.991305	-0.111674
7.29997e-008	-0.992112	-0.112974
7.30997e-008	-0.99288	-0.114272
7.31997e-008	-0.993609	-0.115569
7.32997e-008	-0.994299	-0.116864
7.33997e-008	-0.994949	-0.118158
7.34997e-008	-0.99556	-0.11945
7.35997e-008	-0.996132	-0.12074
7.36997e-008	-0.996665	-0.122028
7.37997e-008	-0.997158	-0.123315
7.38997e-008	-0.997611	-0.1246
7.39997e-008	-0.998026	-0.125882
7.40997e-008	-0.998401	-0.127163
7.41997e-008	-0.998736	-0.128442
7.42997e-008	-0.999032	-0.129719
7.43997e-008	-0.999289	-0.130993
7.44997e-008	-0.999506	-0.132266
7.45997e-008	-0.999684	-0.133536
7.46997e-008	-0.999822	-0.134804
7.47997e-008	-0.999921	-0.13607
7.48997e-008	-0.99998	-0.137333
7.49997e-008	-1	-0.138594
7.50997e-008	-0.99998	-0.139853
